Pair,Horizon,Magnitude,Position,Threshold,Low,High
USDCNY,1,1,2,0.02,0.41,0.69
USDCNY,1,1,3,0.03,0.34,0.65
USDCNY,1,1,4,0.04,0.42,0.64
USDCNY,1,1,5,0.05,0.32,0.67
USDCNY,1,2,6,0.1,0.37,0.64
USDCNY,1,2,7,0.2,0.40,0.71
USDCNY,1,2,8,0.3,0.35,0.66
USDCNY,1,2,9,0.4,0.40,0.65
USDCNY,2,1,1,0.01,0.74,0.84
USDCNY,2,1,2,0.02,0.23,0.56
USDCNY,2,1,3,0.03,0.30,0.54
USDCNY,2,1,4,0.04,0.22,0.53
USDCNY,2,1,5,0.05,0.32,0.54
USDCNY,2,2,6,0.1,0.33,0.55
USDCNY,2,2,7,0.2,0.36,0.56
USDCNY,2,2,8,0.3,0.42,0.58
USDCNY,2,2,9,0.4,0.34,0.58
USDCNY,2,2,10,0.5,0.34,0.60
USDCNY,3,1,1,0.01,0.44,0.77
USDCNY,3,1,2,0.02,0.17,0.47
USDCNY,3,1,3,0.03,0.27,0.50
USDCNY,3,1,4,0.04,0.22,0.45
USDCNY,3,1,5,0.05,0.29,0.45
USDCNY,3,2,6,0.1,0.26,0.50
USDCNY,3,2,7,0.2,0.38,0.56
USDCNY,3,2,8,0.3,0.29,0.53
USDCNY,3,2,9,0.4,0.25,0.54
USDCNY,3,2,10,0.5,0.28,0.53
USDCNY,4,1,1,0.01,0.41,0.81
USDCNY,4,1,2,0.02,0.46,0.76
USDCNY,4,1,3,0.03,0.24,0.61
USDCNY,4,1,4,0.04,0.26,0.56
USDCNY,4,1,5,0.05,0.24,0.58
USDCNY,4,2,6,0.1,0.26,0.50
USDCNY,4,2,7,0.2,0.24,0.55
USDCNY,4,2,8,0.3,0.25,0.51
USDCNY,4,2,9,0.4,0.24,0.47
USDCNY,4,2,10,0.5,0.26,0.52
USDCNY,5,1,1,0.01,0.42,0.72
USDCNY,5,1,2,0.02,0.38,0.72
USDCNY,5,1,3,0.03,0.21,0.55
USDCNY,5,1,4,0.04,0.26,0.53
USDCNY,5,1,5,0.05,0.20,0.52
USDCNY,5,2,6,0.1,0.21,0.54
USDCNY,5,2,7,0.2,0.22,0.46
USDCNY,5,2,8,0.3,0.26,0.51
USDCNY,5,2,9,0.4,0.23,0.47
USDCNY,5,2,10,0.5,0.26,0.50
USDCNY,6,1,1,0.01,0.31,0.67
USDCNY,6,1,2,0.02,0.35,0.68
USDCNY,6,1,3,0.03,0.25,0.66
USDCNY,6,1,4,0.04,0.23,0.46
USDCNY,6,1,5,0.05,0.14,0.48
USDCNY,6,2,6,0.1,0.21,0.48
USDCNY,6,2,7,0.2,0.19,0.46
USDCNY,6,2,8,0.3,0.16,0.47
USDCNY,6,2,9,0.4,0.24,0.51
USDCNY,6,2,10,0.5,0.22,0.52
USDCNY,6,3,11,1.0,0.28,0.50
USDCNY,7,1,1,0.01,0.23,0.63
USDCNY,7,1,2,0.02,0.36,0.67
USDCNY,7,1,3,0.03,0.27,0.64
USDCNY,7,1,4,0.04,0.30,0.66
USDCNY,7,1,5,0.05,0.38,0.62
USDCNY,7,2,6,0.1,0.27,0.45
USDCNY,7,2,7,0.2,0.24,0.40
USDCNY,7,2,8,0.3,0.18,0.46
USDCNY,7,2,9,0.4,0.20,0.44
USDCNY,7,2,10,0.5,0.23,0.39
USDCNY,7,3,11,1.0,0.25,0.45
USDCNY,7,3,12,1.5,0.28,0.47
USDCNY,7,3,13,2.0,0.39,0.63
EURUSD,1,1,1,0.01,0.59,0.96
EURUSD,1,1,2,0.02,0.36,0.64
EURUSD,1,1,3,0.03,0.36,0.62
EURUSD,1,1,4,0.04,0.35,0.61
EURUSD,1,1,5,0.05,0.33,0.66
EURUSD,1,2,6,0.1,0.43,0.64
EURUSD,1,2,7,0.2,0.46,0.64
EURUSD,1,2,8,0.3,0.40,0.61
EURUSD,1,2,9,0.4,0.44,0.65
EURUSD,1,2,10,0.5,0.44,0.66
EURUSD,2,1,1,0.01,0.49,0.81
EURUSD,2,1,2,0.02,0.50,0.80
EURUSD,2,1,3,0.03,0.29,0.51
EURUSD,2,1,4,0.04,0.33,0.54
EURUSD,2,1,5,0.05,0.29,0.50
EURUSD,2,2,6,0.1,0.33,0.54
EURUSD,2,2,7,0.2,0.29,0.53
EURUSD,2,2,8,0.3,0.28,0.59
EURUSD,2,2,9,0.4,0.38,0.57
EURUSD,2,2,10,0.5,0.33,0.57
